20/1/2021,88430205,95686897,97330854,94798845,84422581,98649704,86358614,82585503,84845531,92884203
21/1/2021,89421370,80401083,84685086,84031164,98564662,82638785,99140716,90411169,94247870,96379574
22/1/2021,83784220,86257509,97496141,99973066,99189918,95842360,88128837,91505785,81039641,91773602
23/1/2021,97336134,92336078,93877132,82698637,99316474,90550758,84586289,92851150,96918963,85495333
24/1/2021,81407020,83909968,85960002,92652148,95766343,85827268,89620337,85827649,99453617,88050084
25/1/2021,97686097,97752644,93636549,92052824,89196066,91856872,84102831,98605680,99392870,93626253
26/1/2021,91174592,90144704,85044218,90687117,93764286,95804333,86116104,91139715,89944655,90952075
27/1/2021,95320346,87075080,91435258,91938595,95717603,90922639,84830613,99394934,96533447,81992305
28/1/2021,91150689,95203870,81917304,94456537,98931103,82459210,89815775,81561062,83724412,94245599
29/1/2021,93990714,92754360,91682054,85956631,93897003,90924653,91074633,90334947,86867156,98400464
30/1/2021,97559674,80311374,99171146,84017158,86747620,87863479,85635042,97013246,86050641,95888868
31/1/2021,91153442,96524562,92857972,81925326,98429427,85284824,85802486,81440638,87705659,90451366
1/2/2021,93611127,81906241,93353452,97821607,93744181,90618455,82581757,94603886,97890847,98550799
2/2/2021,91687219,92771510,95724282,96899054,95842017,85408556,89157714,99040674,80449861,94817694
3/2/2021,83441858,80913405,90849495,92261034,86590098,97279174,97183774,97843712,84719817,84663217
4/2/2021,90350051,83397132,82697912,96121079,83532830,93240906,80730101,87762275,97721500,97931945
5/2/2021,83288641,95274207,93154277,80420849,91945566,84799494,84812869,82550725,93102045,82759164
6/2/2021,83183870,89823604,96240509,86750035,89915862,86977244,90016600,83472539,80154674,82243477
7/2/2021,90003701,83237180,97822711,90747563,81121637,98899380,93243801,89138318,94283236,82534580
8/2/2021,94428559,92845105,90917754,88933166,81839140,97528254,90576635,81007094,90496573,88246100
9/2/2021,82406111,97763832,86987933,91101740,98021557,91118074,87996298,99070397,86781475,86933440
10/2/2021,89745497,94177712,86582609,83881722,91701377,98938509,88963291,88691261,96722999,95259423
11/2/2021,98379438,82631263,96565184,92486048,86440597,81744857,92872610,90722479,83556472,99378790
12/2/2021,83815406,84044243,97927140,87174226,81314381,86464115,84690850,83760056,94011421,97044831
13/2/2021,95017559,84004130,85789360,83482107,87287914,88128474,97371615,87520334,85889672,84343627
