20/1/2021,92963655:2:10,86649354:9:18,99716363:2:55,92269494:7:54,95816563:1:45,90979582:2:46,85209202:0:44,84833633:9:27,87057037:2:53,85779328:8:59
21/1/2021,84029369:5:58,89607572:2:53,84201204:1:37,97293870:6:2,85058285:1:34,82845509:5:2,94826709:7:24,98975016:4:49,91436021:3:57,98906935:1:8
22/1/2021,85714479:4:45,94223832:4:56,99010724:2:54,96871646:9:27,80444095:8:54,92544627:4:24,85072228:0:48,98039132:5:9,91862643:0:51,87544056:7:13
23/1/2021,97201401:9:4,92914177:2:23,86699092:7:12,85948468:9:19,92683006:5:7,95790710:0:12,87725823:0:30,95807113:8:56,86330597:3:48,90517688:7:30
24/1/2021,81397976:9:46,95574186:4:40,94752407:6:47,97069083:9:38,83636805:0:4,82239509:4:48,80095360:6:18,84407893:0:43,83624592:2:23,96616416:5:53
25/1/2021,94120397:4:49,81299259:3:4,98243079:5:24,93466495:2:30,83377352:9:45,82988710:1:43,85012066:4:2,87274580:5:34,98158033:7:17,89143202:8:35
26/1/2021,98754550:5:59,84506627:4:49,89450685:5:30,96621069:2:5,97295613:0:16,96520858:2:7,81281990:1:47,80603424:7:27,97995978:5:55,81309304:7:39
27/1/2021,96862637:0:47,89958617:8:48,92644955:9:56,89541820:4:23,89236677:6:52,91529295:6:17,89787685:7:53,97630894:8:17,99529719:6:42,86601027:3:42
28/1/2021,90193630:0:43,92839237:7:25,97777446:2:50,86924716:5:21,82900634:1:6,98601561:7:29,81235019:3:32,84109555:6:46,90222978:2:14,82437732:1:26
29/1/2021,83185547:0:7,92722400:9:43,93793669:3:42,91396552:8:29,86263024:4:14,87250897:4:11,85557946:4:32,95362511:3:55,85178877:6:30,88182199:2:13
30/1/2021,83186441:7:45,85363295:8:51,88726437:5:21,80469845:0:45,85345456:3:7,86485834:9:36,96407157:5:53,97195271:0:40,93229920:0:8,97654460:8:36
31/1/2021,88932926:8:4,98519150:5:21,94334146:3:33,87738985:3:22,91523675:8:56,83356911:4:52,86796116:9:12,91736504:9:41,94786896:0:37,99378337:7:0
1/2/2021,84622984:4:28,96089764:1:44,90217704:4:15,96347148:9:21,88187861:6:0,92591457:3:42,94825106:8:42,83870055:3:26,84997427:6:1,89652518:4:11
2/2/2021,95357612:6:32,80816316:7:59,98085784:7:4,93362348:5:33,81365593:5:32,83931481:5:23,93722665:9:37,84123983:7:34,90330826:9:21,90824368:9:3
3/2/2021,98768750:6:15,86150047:8:8,82841276:4:25,96134421:9:24,88787265:1:24,94129819:2:23,87824678:5:53,88372937:4:13,94659770:1:22,80256463:2:5
4/2/2021,84975001:7:40,91705726:4:19,91705613:5:59,99577887:3:27,97382858:2:41,88750649:4:33,87780652:7:16,86555429:6:15,80107830:9:9,97458635:8:45
5/2/2021,83486580:6:50,97338197:0:43,80478132:9:3,92692979:7:51,97447916:0:24,96087640:0:52,86857179:6:35,97993012:7:35,88481690:0:20,87806604:2:38
6/2/2021,88815393:7:20,83018876:4:18,94902284:9:5,81160310:7:6,93387798:8:10,87180237:4:48,80206093:6:59,89906960:2:29,86259601:7:25,99757117:4:38
7/2/2021,97829778:2:15,90494736:9:40,94676036:6:38,96621612:9:44,81646889:8:30,97985473:2:21,91656366:9:5,89596939:4:23,85882343:9:1,88564019:6:55
8/2/2021,97604349:7:29,84842039:6:53,99806981:1:34,93114280:3:56,89951462:7:2,87570478:8:31,94776283:3:16,84794141:2:19,93006999:0:36,90000242:9:54
9/2/2021,88735462:5:55,91528592:0:6,94407406:6:57,88158434:0:31,89894565:2:4,94064819:8:1,83200029:6:48,88919905:9:56,95595781:7:17,88292639:9:10
10/2/2021,87811267:6:53,84251475:2:28,87922869:4:55,97048842:7:6,80614048:0:49,89312010:4:11,89453903:2:5,86661613:1:45,94302528:1:22,93965471:5:10
11/2/2021,90606897:7:47,94983746:6:9,92191377:2:7,94783822:4:27,95653333:3:41,88633368:1:46,86614177:8:18,95237987:3:25,84157160:0:52,98332253:1:7
12/2/2021,94996212:2:56,93528729:9:50,89495291:0:14,84949055:9:7,85187113:3:22,90235801:6:8,83231470:5:49,87228924:9:12,83575641:1:20,96453216:3:10
13/2/2021,91668155:7:13,96019853:7:11,88054411:5:23,90740674:6:21,80269131:8:52,90121503:6:5,90529333:0:16,99439470:3:14,94113510:2:23,90411976:4:48
