20/1/2021,97709545:9:12,85939803:9:7,92028703:3:42,91380594:1:51,98199895:4:39,92097443:3:10,88792483:1:54,81768545:4:22,96827995:0:3,80303183:3:47
21/1/2021,86013056:2:3,92763660:7:16,98982889:3:52,91278839:7:1,97326516:2:46,92782504:8:52,87803975:7:48,84740263:1:1,98591817:6:11,97599493:4:23
22/1/2021,86597865:7:59,98890924:7:2,91692371:4:57,98575983:8:11,81497590:1:3,80379326:2:23,83782473:0:29,94384561:2:34,82880968:0:30,82117028:2:34
23/1/2021,82015446:3:15,90764341:1:54,94047661:1:1,95159988:1:54,90820377:4:41,95095957:7:53,85829777:5:58,84969203:3:21,86879884:3:56,95369345:7:1
24/1/2021,84669123:5:49,88789370:0:5,97120235:7:38,95549908:9:51,90488226:6:45,84438365:0:23,97869291:4:2,92845639:3:16,98219907:6:52,87356704:7:59
25/1/2021,90137925:7:52,93800634:9:24,88073867:0:22,90192603:6:52,89339922:9:21,99259600:3:36,85847127:7:51,81533290:9:42,85995250:3:1,83082107:2:49
26/1/2021,96031876:2:53,97590697:0:10,99385175:0:8,97093882:8:15,84280346:9:0,88995954:4:0,87004197:5:20,80884117:6:2,89869581:6:0,80661556:7:18
27/1/2021,82350518:7:25,89780763:3:46,97118527:4:21,83533103:8:8,91912584:3:49,88227326:4:46,97574296:4:24,81157237:1:30,85912625:9:58,92038818:7:6
28/1/2021,98140347:6:47,95522072:3:43,92979342:1:59,92488739:3:28,90963680:0:36,92746139:8:55,94049462:7:32,84561962:9:40,92629317:3:37,92186153:3:52
29/1/2021,93936587:5:27,97263999:4:49,89898096:1:32,80995229:1:30,82237786:0:0,97062831:7:55,93830450:0:59,86516704:1:1,93383434:7:27,93217516:2:19
30/1/2021,97018479:0:45,91958160:8:38,87694547:7:19,85677952:8:16,86753749:2:50,81575153:3:12,93633138:4:14,84726543:4:38,90169686:6:21,95616424:4:56
31/1/2021,91352635:2:56,88665894:9:14,88742974:8:44,83926119:8:3,89353487:5:46,80613729:3:9,80768630:9:31,87767389:6:46,91776854:2:38,93340775:0:28
1/2/2021,97927570:9:13,95519372:5:8,93337615:7:51,86744981:2:25,82442997:7:31,97903817:6:40,85205227:2:9,82659934:0:16,86658945:6:22,91082463:0:51
2/2/2021,95867786:1:3,90080536:2:43,87172812:2:36,96127686:6:8,98602299:2:3,99100108:6:27,92357051:0:13,80148957:8:18,94174639:4:56,98669943:1:43
3/2/2021,99558697:2:23,99789698:0:41,80696896:4:53,88062192:1:33,89979695:7:50,92285794:9:15,80895257:2:34,84141706:0:31,80214009:5:5,83011398:3:29
4/2/2021,86961936:1:47,80578690:4:44,97939081:2:10,82235956:3:6,88879872:3:11,95803133:1:2,98417964:2:2,98113499:2:39,88887900:3:41,96431704:7:52
5/2/2021,92322179:0:53,87323960:7:57,94341326:2:59,86788325:6:5,87025197:0:27,94095295:7:50,81768498:2:27,99427957:9:0,86201907:2:36,97803901:9:38
6/2/2021,95412957:1:33,95917473:3:49,99291442:9:4,83310280:4:47,91982617:5:7,92705252:8:18,84741262:3:42,80620898:8:15,82397241:5:23,89574422:1:8
7/2/2021,84150102:3:55,88375387:1:10,84271816:2:6,86667991:3:55,98530541:7:58,94931647:9:31,89321017:5:40,98112176:6:28,94240571:6:1,89883902:9:7
8/2/2021,82857814:7:17,80798682:7:22,98417871:5:39,82841341:2:34,90109057:4:55,80340650:7:50,84193536:1:23,85844125:4:39,90322366:4:28,88915014:0:51
9/2/2021,97444854:7:30,89581780:7:19,86914687:6:9,90233346:8:12,93678171:3:7,90274022:6:18,85320052:5:53,92741240:5:41,92007275:9:34,87410459:5:21
10/2/2021,86148198:1:54,89471991:3:40,98339983:9:34,94112936:5:43,89338827:6:30,90913201:6:56,87735349:6:53,87440673:7:39,83001158:8:45,96996593:5:51
11/2/2021,85683030:9:28,80174561:6:42,84470018:5:44,82926603:9:46,90096180:1:46,80891713:2:16,95145796:0:57,90026511:8:23,86332711:2:55,81065950:8:18
12/2/2021,85732039:2:12,85939712:8:49,83037054:4:46,96154692:1:49,84890378:6:23,83815740:5:34,88839670:4:22,91890083:6:7,92445478:5:37,93026342:4:34
13/2/2021,87341865:8:37,91402799:7:36,99111429:2:43,94666451:9:50,92904088:8:46,86638808:7:9,87359932:3:50,92261000:8:22,89183505:3:39,91855475:6:25
