20/1/2021,92370950,97292529,95717511,97723345,84768633,91961609,89847159,96456444,93272994,82307270
21/1/2021,91091918,94040310,87925329,99125294,98335381,94228754,94419619,84926247,88140097,80231338
22/1/2021,84628518,92712529,85401498,83194150,84283283,90510592,82621772,81880435,94541395,85958061
23/1/2021,82600503,93379910,87957156,85794451,80815983,91977413,94256233,90832085,92648995,81453676
24/1/2021,97337883,95361618,86543296,99025173,94953694,82649059,82268273,80188894,99076542,83678145
25/1/2021,94237458,84766798,89291361,94380453,90755310,84652233,81120389,92036831,80291362,84188076
26/1/2021,99399971,99247527,82229937,95129138,88016013,83308858,85996928,82601663,80010439,94900056
27/1/2021,94514783,89219104,95984328,82677269,92466601,94267493,96059078,87150609,81781688,87680043
28/1/2021,84955340,84983574,85956235,87541482,99625573,95330092,83107487,93215731,83505060,86652200
29/1/2021,86513039,99403816,90133438,88606439,80078917,99091681,92093050,84486619,82681103,90386444
30/1/2021,93516067,80212972,91899415,92043348,99617671,98323630,87715103,89494191,93946276,98681499
31/1/2021,86728317,80837898,97047988,90463875,91618338,98916040,99916475,86528163,89111213,91526605
1/2/2021,89413102,92590449,83264007,81999801,87161848,95843019,85571802,84365409,80795736,88878681
2/2/2021,91708090,91703528,95477752,97767574,84711757,96170267,97708528,99860148,99892696,86199701
3/2/2021,81208505,96186415,92467142,97158621,96112933,86168755,99715210,80213391,96619902,92319164
4/2/2021,97311152,99500925,81078156,89720670,87919577,93987497,85910849,87013895,99177072,94967221
5/2/2021,94503106,82631865,94137659,95257422,92957996,93684548,99112346,91440983,97849501,87317799
6/2/2021,98737508,93446287,81944531,81700421,99381656,91764280,87778405,95482203,92385108,92765685
7/2/2021,91848621,83154822,92398978,95146032,85950462,80561227,91463253,80971287,82042088,97628812
8/2/2021,91759075,85396027,97299918,91562025,87935580,88308457,80439830,89786794,94292466,85086429
9/2/2021,88907454,84989996,97194229,93822074,86607053,94138100,99080599,87256877,90795053,86274280
10/2/2021,91591116,90442177,89423717,82110929,83741096,94460006,93058410,88709113,84703387,95972090
11/2/2021,90954065,93487527,97587476,97627925,99452101,91648677,93961394,89581290,80120050,97267321
12/2/2021,82317822,90176055,81621817,98149002,83223280,81611527,80920752,99348035,90424400,80656457
13/2/2021,86844535,81863013,83459786,91475034,93026210,93311746,91332178,96030264,85430664,80540577
